length,period,time_30_1,time_30_2,time_30_3
0.100,0.654,19.679,19.415,19.810
0.150,0.803,24.309,24.151,23.809
0.200,0.918,27.695,27.594,27.329
0.250,1.026,31.027,30.310,30.971
0.300,1.108,33.089,33.106,33.506
0.350,1.204,36.375,35.754,36.274
0.400,1.293,38.982,38.867,38.555
0.450,1.364,41.006,41.042,40.743
0.500,1.435,42.983,43.349,42.811
0.550,1.504,45.164,44.869,45.308
0.600,1.564,46.732,47.297,46.698
0.650,1.633,49.277,48.935,48.736
0.700,1.697,50.867,51.067,50.829
0.750,1.752,53.044,52.212,52.384
0.800,1.811,54.813,54.345,53.843
